,time,accountNo,OrderRef,symbol,localSymbol,tradingClass,securityType,expiry,strike,P-C,BOT-SLD,shares,price,cumQty,avgPrice,commissionAmt,commissionCurr,exchange,currency,clientId,orderId
0,2020-06-22 13:20:57+00:00,DU2235098,,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3077.0,1.0,3077.0,0.0,,GLOBEX,USD,0,0
1,2020-06-22 12:45:43+00:00,DU2235101,03,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3079.75,1.0,3079.75,0.0,,GLOBEX,USD,15,52
2,2020-06-22 13:21:24+00:00,DU2235101,,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3077.25,1.0,3077.25,0.0,,GLOBEX,USD,0,0
3,2020-06-22 13:21:28+00:00,DU2235101,03,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3077.0,1.0,3077.0,0.0,,GLOBEX,USD,15,54
4,2020-06-22 13:21:48+00:00,DU2235101,,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3077.5,1.0,3077.5,0.0,,GLOBEX,USD,0,0
5,2020-06-22 13:50:27+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3077.5,1.0,3077.5,0.0,,GLOBEX,USD,15,13
6,2020-06-22 13:53:55+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10007.75,1.0,10007.75,0.0,,GLOBEX,USD,11,11
7,2020-06-22 13:59:00+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10019.5,1.0,10019.5,0.0,,GLOBEX,USD,11,12
8,2020-06-22 14:31:51+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3089.25,1.0,3089.25,0.0,,GLOBEX,USD,12,11
9,2020-06-22 14:36:39+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3086.5,1.0,3086.5,0.0,,GLOBEX,USD,12,12
10,2020-06-22 14:45:45+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10056.75,1.0,10056.75,0.0,,GLOBEX,USD,11,13
11,2020-06-22 14:49:34+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3084.75,1.0,3084.75,0.0,,GLOBEX,USD,15,14
12,2020-06-22 14:59:32+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3080.75,1.0,3080.75,0.0,,GLOBEX,USD,15,15
13,2020-06-22 15:00:06+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3078.75,1.0,3078.75,0.0,,GLOBEX,USD,12,13
14,2020-06-22 15:02:27+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10024.0,1.0,10024.0,0.0,,GLOBEX,USD,11,14
15,2020-06-22 15:16:52+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3088.75,1.0,3088.75,0.0,,GLOBEX,USD,15,16
16,2020-06-22 15:16:53+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3088.75,1.0,3088.75,0.0,,GLOBEX,USD,15,17
17,2020-06-22 15:38:14+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10058.5,1.0,10058.5,0.0,,GLOBEX,USD,11,15
18,2020-06-22 15:41:54+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10062.5,1.0,10062.5,0.0,,GLOBEX,USD,11,16
19,2020-06-22 16:03:48+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10070.75,1.0,10070.75,0.0,,GLOBEX,USD,11,17
20,2020-06-22 16:04:25+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10077.75,1.0,10077.75,0.0,,GLOBEX,USD,11,18
21,2020-06-22 16:05:25+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10080.0,1.0,10080.0,0.0,,GLOBEX,USD,11,19
22,2020-06-22 16:29:46+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10090.0,1.0,10090.0,0.0,,GLOBEX,USD,11,20
23,2020-06-22 16:35:27+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10094.25,1.0,10094.25,0.0,,GLOBEX,USD,11,21
24,2020-06-22 16:44:02+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10091.75,1.0,10091.75,0.0,,GLOBEX,USD,11,22
25,2020-06-22 16:46:58+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10100.25,1.0,10100.25,0.0,,GLOBEX,USD,11,23
26,2020-06-22 16:47:02+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10103.5,1.0,10103.5,0.0,,GLOBEX,USD,11,24
27,2020-06-22 16:48:07+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10100.0,1.0,10100.0,0.0,,GLOBEX,USD,11,25
28,2020-06-22 17:02:41+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10099.0,1.0,10099.0,0.0,,GLOBEX,USD,11,26
29,2020-06-22 17:37:23+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10083.75,1.0,10083.75,0.0,,GLOBEX,USD,11,27
30,2020-06-22 17:38:10+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3099.75,1.0,3099.75,0.0,,GLOBEX,USD,12,14
31,2020-06-22 17:38:10+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3100.0,1.0,3100.0,0.0,,GLOBEX,USD,12,15
32,2020-06-22 17:38:35+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10079.25,1.0,10079.25,0.0,,GLOBEX,USD,11,28
33,2020-06-22 17:41:34+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3099.75,1.0,3099.75,0.0,,GLOBEX,USD,12,16
34,2020-06-22 17:45:35+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,SLD,1.0,10095.25,1.0,10095.25,0.0,,GLOBEX,USD,11,29
35,2020-06-22 18:01:00+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3099.5,1.0,3099.5,0.0,,GLOBEX,USD,12,17
36,2020-06-22 18:01:03+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3096.75,1.0,3096.75,0.0,,GLOBEX,USD,15,18
37,2020-06-22 18:01:03+00:00,DU2235097,03_lowvix,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3097.0,1.0,3097.0,0.0,,GLOBEX,USD,15,19
38,2020-06-22 18:01:12+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10083.5,1.0,10083.5,0.0,,GLOBEX,USD,11,30
39,2020-06-22 18:01:20+00:00,DU2235100,02_highvix,NQ,NQU0,NQ,FUT,20200918,0.0,,BOT,1.0,10081.25,1.0,10081.25,0.0,,GLOBEX,USD,11,31
40,2020-06-22 18:04:07+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3096.25,1.0,3096.25,0.0,,GLOBEX,USD,12,18
41,2020-06-22 18:24:22+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,SLD,1.0,3101.25,1.0,3101.25,0.0,,GLOBEX,USD,12,19
42,2020-06-22 18:27:06+00:00,DU2235099,02,ES,ESU0,ES,FUT,20200918,0.0,,BOT,1.0,3103.5,1.0,3103.5,0.0,,GLOBEX,USD,12,20
