,time,accountNo,OrderRef,symbol,localSymbol,tradingClass,securityType,expiry,strike,P-C,BOT-SLD,shares,price,cumQty,avgPrice,commissionAmt,commissionCurr,exchange,currency,clientId,orderId
0,2020-06-16 14:18:06+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,SLD,1,10012.25,1,10012.25,0,,GLOBEX,USD,11,11
1,2020-06-16 14:22:42+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,BOT,1,9979,1,9979,0,,GLOBEX,USD,11,12
2,2020-06-16 14:37:50+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,BOT,1,3139.25,1,3139.25,0,,GLOBEX,USD,12,11
3,2020-06-16 14:37:50+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,BOT,1,3139,1,3139,0,,GLOBEX,USD,18,11
4,2020-06-16 14:37:56+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,SLD,1,3134.25,1,3134.25,0,,GLOBEX,USD,18,12
5,2020-06-16 14:38:16+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,SLD,1,3131.5,1,3131.5,0,,GLOBEX,USD,12,12
6,2020-06-16 14:38:17+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,BOT,1,9961.25,1,9961.25,0,,GLOBEX,USD,11,15
7,2020-06-16 14:41:57+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,SLD,1,9952.25,1,9952.25,0,,GLOBEX,USD,11,16
8,2020-06-16 14:59:49+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,BOT,1,9841.75,1,9841.75,0,,GLOBEX,USD,11,17
9,2020-06-16 14:59:49+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,BOT,1,3090.5,1,3090.5,0,,GLOBEX,USD,18,13
10,2020-06-16 14:59:50+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,BOT,1,3090.5,1,3090.5,0,,GLOBEX,USD,12,13
11,2020-06-16 19:15:27+00:00,DU2235100,,NQ,NQM0,NQ,FUT,20200619,0,,SLD,1,9896.75,1,9896.75,0,,GLOBEX,USD,11,18
12,2020-06-16 19:15:29+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,SLD,1,3110.5,1,3110.5,0,,GLOBEX,USD,18,14
13,2020-06-16 19:17:16+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,SLD,1,3110.75,1,3110.75,0,,GLOBEX,USD,12,14
14,2020-06-16 19:33:48+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,SLD,1,3127,1,3127,0,,GLOBEX,USD,12,15
15,2020-06-16 19:33:48+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,SLD,1,3127.25,1,3127.25,0,,GLOBEX,USD,18,17
16,2020-06-16 19:50:15+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,BOT,1,3121.25,1,3121.25,0,,GLOBEX,USD,18,18
17,2020-06-16 19:50:17+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,BOT,1,3121.5,1,3121.5,0,,GLOBEX,USD,12,16
18,2020-06-16 19:59:56+00:00,DU2235098,,MES,MESM0,MES,FUT,20200619,0,,SLD,1,3124.5,1,3124.5,0,,GLOBEX,USD,18,19
19,2020-06-16 19:59:57+00:00,DU2235099,,ES,ESM0,ES,FUT,20200619,0,,SLD,1,3124.5,1,3124.5,0,,GLOBEX,USD,12,17
